personId,season,salaryInDollars
201939,2022,48070014
202322,2022,47345760
201566,2022,47080179
2544,2022,44474988
201142,2022,44119845
203078,2022,43279250
202331,2022,42492492
202695,2022,42492492
203507,2022,42492492
203081,2022,42492492
202691,2022,40600080
202681,2022,38917057
203497,2022,38172414
203114,2022,37984276
203076,2022,37980720
202710,2022,37653300
202699,2022,37633050
202689,2022,37281261
1629027,2022,37096500
203897,2022,37096500
1629029,2022,37096500
1627732,2022,35448672
1627783,2022,35448672
1626167,2022,35096500
201950,2022,34319520
1626157,2022,33833400
1626164,2022,33833400
204001,2022,33833400
203954,2022,33616770
203952,2022,33616770
203468,2022,33333333
203999,2022,33047803
201935,2022,33000000
1627750,2022,31650600
1627742,2022,31650600
1626156,2022,31377750
1628983,2022,30913750
1628378,2022,30913750
1629028,2022,30913750
201567,2022,30556968
1628369,2022,30351780
1628389,2022,30351780
1628368,2022,30351780
202330,2022,30075000
1627759,2022,29776785
1628991,2022,28946605
101108,2022,28400000
200768,2022,28333334
1628973,2022,27733332
201942,2022,27300000
201143,2022,26500000
203110,2022,25806468
203944,2022,23760000
1628381,2022,23500000
201144,2022,22680000
1627763,2022,22600000
1629014,2022,22321429
202696,2022,22000000
1626179,2022,21486316
1627832,2022,21250000
1627741,2022,21177750
1627734,2022,21100000
203924,2022,20955000
1628969,2022,20100000
1628386,2022,20000000
201587,2022,19700319
203932,2022,19690909
203501,2022,19602273
201569,2022,19568360
202711,2022,19550000
1628366,2022,19534884
203915,2022,19500000
201568,2022,19479000
1627747,2022,18796296
203925,2022,18642857
203084,2022,18352273
203991,2022,18206896
203095,2022,18000000
43306,2022,18000000
203500,2022,17926829
1628371,2022,17400000
1628384,2022,17357143
1629018,2022,17280000
203935,2022,17207142
1628401,2022,17142857
1627749,2022,17071120
1629011,2022,17045454
1629130,2022,16902000
1626181,2022,16758621
1629012,2022,16700000
1628365,2022,16500000
1628374,2022,16475454
202722,2022,16000000
203994,2022,15625000
1627736,2022,15558035
1629652,2022,15277778
203115,2022,15059712
1626145,2022,15000000
202685,2022,14700000
201565,2022,14520730
1628989,2022,14508929
1626174,2022,14317459
203484,2022,14004703
201572,2022,13906976
201976,2022,13801614
203926,2022,13750000
1628379,2022,13745455
1629627,2022,13534817
203903,2022,13340000
203914,2022,13000000
1628398,2022,13000000
1628404,2022,12960000
1627827,2022,12939848
203482,2022,12804878
1628449,2022,12690000
203496,2022,12307692
1626196,2022,12196094
1629630,2022,12119440
201980,2022,11710528
203082,2022,11500000
202704,2022,11457217
1628415,2022,11400000
1626158,2022,11215260
203939,2022,11080125
1631094,2022,11055120
1629628,2022,10900634
1626171,2022,10843350
201599,2022,10733758
1630162,2022,10733400
1630595,2022,10552800
200782,2022,10490000
202324,2022,10350803
1628964,2022,10300000
1629659,2022,10260000
203109,2022,10183800
1627826,2022,10123457
203493,2022,10012800
202692,2022,10012800
1631096,2022,9891240
1629631,2022,9835881
1626204,2022,9672727
1630164,2022,9603360
1629013,2022,9500000
1628370,2022,9472219
1630224,2022,9441840
1627751,2022,9398148
203457,2022,9391069
203967,2022,9240000
1626220,2022,9200000
1628420,2022,9125000
203486,2022,9080417
1627936,2022,9030000
1628467,2022,9000000
1628960,2022,8925000
1629636,2022,8920794
2074,2022,8882640
1628392,2022,8854879
203937,2022,8780488
203506,2022,8750000
1628464,2022,8694369
1630163,2022,8623920
203552,2022,8496653
1630596,2022,8478720
1627780,2022,8300000
203473,2022,8283688
1629001,2022,8250000
203210,2022,8200000
204456,2022,8100000
1631099,2022,8008440
1626172,2022,8000000
201152,2022,8000000
1626153,2022,7804878
1630172,2022,7775400
1630567,2022,7644600
1626224,2022,7426088
1629632,2022,7413955
1628380,2022,7350000
1627752,2022,7295000
1631093,2022,7252200
1630256,2022,7065217
1630171,2022,7040880
1628998,2022,7000000
1630591,2022,6922320
1629637,2022,6803012
203920,2022,6667500
1631097,2022,6586800
1628971,2022,6479000
1628997,2022,6479000
56022,2022,6479000
1630168,2022,6395160
1630581,2022,6287400
1629060,2022,6263188
200752,2022,6184500
1628975,2022,6025000
1631101,2022,6012960
1626166,2022,6000000
203200,2022,5987975
1629629,2022,5954454
1629661,2022,5887899
201937,2022,5853659
1630165,2022,5837760
1629023,2022,5808435
1630228,2022,5739840
1626192,2022,5728393
1629639,2022,5722116
1629641,2022,5634257
1630700,2022,5508600
201580,2022,5461219
1630167,2022,5348280
1630532,2022,5258280
1629134,2022,5250000
1628977,2022,5200000
202709,2022,5155500
202066,2022,5155500
1628470,2022,5121951
1631110,2022,5063520
1628021,2022,5022000
1629638,2022,5009633
1627788,2022,5000000
1630166,2022,4916160
1630558,2022,4833600
76526,2022,4810320
1629660,2022,4728948
1630188,2022,4670160
1630533,2022,4591680
1631172,2022,4569840
1628978,2022,4500000
201145,2022,4500000
1630170,2022,4437000
1629680,2022,4379526
1629020,2022,4374000
1630547,2022,4362240
1629634,2022,4343919
1631114,2022,4341480
1629684,2022,4306281
1629647,2022,4264628
1630169,2022,4215120
1629642,2022,4171548
1631105,2022,4124280
203476,2022,4105236
1626246,2022,4101478
1626159,2022,4097561
1629685,2022,4037277
1626169,2022,4022164
201588,2022,4000000
1629056,2022,4000000
1630537,2022,3936960
203458,2022,3918600
1630534,2022,3918360
1629673,2022,3901399
1629640,2022,3873024
201949,2022,3841067
1630174,2022,3804360
1630541,2022,3740160
1631109,2022,3722040
1630175,2022,3613680
1630557,2022,3552840
1631100,2022,3536160
201609,2022,3523762
203488,2022,3500000
162777,2022,3465000
1630191,2022,3433320
1629643,2022,3433320
203504,2022,3423750
1629599,2022,3395062
1630578,2022,3375360
1631106,2022,3359160
1630197,2022,3261480
77876,2022,3217631
1631323,2022,3205128
203083,2022,3200000
1631207,2022,3191400
1628425,2022,3122602
1630182,2022,3098400
1631222,2022,3047640
1630544,2022,3046200
1630180,2022,2959080
1631103,2022,2925600
1630580,2022,2909261
1630539,2022,2909040
201933,2022,2905851
201577,2022,2905851
202693,2022,2905851
2738,2022,2905851
201586,2022,2905851
2617,2022,2905851
202083,2022,2905851
203085,2022,2905851
202687,2022,2905851
201959,2022,2905851
1630181,2022,2898243
203094,2022,2844429
1630173,2022,2840160
1631128,2022,2808600
1629670,2022,2800000
1630552,2022,2792640
1630178,2022,2726880
1628981,2022,2717391
1631117,2022,2696400
1630553,2022,2681040
1629646,2022,2674742
203933,2022,2628597
203521,2022,2628597
1626168,2022,2625000
1630192,2022,2617800
1631223,2022,2588640
1630543,2022,2573760
1630699,2022,2485200
1630586,2022,2471160
1626149,2022,2463490
203526,2022,2463490
1626163,2022,2463490
1626195,2022,2443581
1630177,2022,2408891
1631104,2022,2385480
1630528,2022,2372160
1629676,2022,2330681
1630322,2022,2316876
1630193,2022,2316240
1629723,2022,2300000
1627745,2022,2298385
203585,2022,2298385
1627854,2022,2298385
1629656,2022,2277000
1630240,2022,2266640
1629614,2022,2244111
1631107,2022,2239920
1630202,2022,2239200
1628427,2022,2234359
1630538,2022,2201520
1629626,2022,2200000
1631212,2022,2193960
1627737,2022,2193920
1628962,2022,2174880
1630183,2022,2161440
