,personId,firstName,lastName,birthdate,lastAttended,country,height,bodyWeight,guard,forward,center,draftYear,draftRound,draftNumber,fullName
0,2,Byron,Scott,1961-03-28,Arizona State,USA,76.0,205.0,True,False,False,1983.0,1.0,4.0,Byron Scott
1,3,Grant,Long,1966-03-12,Eastern Michigan,USA,81.0,3.0,False,False,False,1988.0,2.0,33.0,Grant Long
2,7,Dan,Schayes,1959-05-10,Syracuse,USA,83.0,260.0,False,False,True,1981.0,1.0,13.0,Dan Schayes
3,9,Sedale,Threatt,1961-09-10,West Virginia Tech,USA,74.0,185.0,True,False,False,1983.0,6.0,139.0,Sedale Threatt
4,12,Chris,King,1969-07-24,Wake Forest,USA,80.0,215.0,False,True,False,1992.0,2.0,45.0,Chris King
5,15,Eric,Piatkowski,1970-09-30,Nebraska,USA,79.0,215.0,True,True,False,1994.0,1.0,15.0,Eric Piatkowski
6,17,Clyde,Drexler,1962-06-22,Houston,USA,79.0,222.0,True,False,False,1983.0,1.0,14.0,Clyde Drexler
7,21,Greg,Anthony,1967-11-15,UNLV,USA,73.0,180.0,True,False,False,1991.0,1.0,12.0,Greg Anthony
8,22,Rik,Smits,1966-08-23,Marist,USA,88.0,265.0,False,False,True,1988.0,1.0,2.0,Rik Smits
9,23,Dennis,Rodman,1961-05-13,Southeastern Oklahoma State,USA,79.0,210.0,False,True,False,1986.0,2.0,27.0,Dennis Rodman
10,24,Keith,Jennings,1968-11-02,East Tennessee State,USA,67.0,160.0,True,False,False,-1.0,-1.0,-1.0,Keith Jennings
11,26,Luc,Longley,1969-01-19,New Mexico,USA,,,False,False,True,1991.0,1.0,7.0,Luc Longley
12,28,Doug,West,1967-05-27,Villanova,USA,,,True,False,False,1989.0,2.0,38.0,Doug West
13,29,Jim,McIlvaine,1972-07-30,Marquette,USA,,,False,False,True,1994.0,2.0,32.0,Jim McIlvaine
14,30,Richard,Dumas,1969-05-19,Oklahoma State,USA,79.0,30.0,False,True,False,1991.0,2.0,46.0,Richard Dumas
15,31,Lorenzo,Williams,1969-07-15,Stetson,USA,81.0,200.0,False,True,False,-1.0,-1.0,-1.0,Lorenzo Williams
16,32,Clifford,Rozier,1972-10-31,Louisville,USA,83.0,245.0,False,False,True,1994.0,1.0,16.0,Clifford Rozier
17,35,Eric,Riley,1970-06-02,Michigan,USA,84.0,245.0,False,False,True,1993.0,2.0,33.0,Eric Riley
18,36,Sarunas,Marciulionis,1964-06-13,Statyba,Lithuania,77.0,200.0,True,False,False,1987.0,6.0,127.0,Sarunas Marciulionis
19,37,Greg,Graham,1970-11-26,Indiana,USA,76.0,174.0,True,False,False,1993.0,1.0,17.0,Greg Graham
20,38,Brad,Lohaus,1964-09-29,Iowa,USA,83.0,230.0,False,True,True,1987.0,2.0,45.0,Brad Lohaus
21,41,Anthony,Bonner,1968-06-08,St. Louis,USA,80.0,230.0,False,True,False,1990.0,1.0,23.0,Anthony Bonner
22,42,Monty,Williams,1971-10-08,Notre Dame,USA,80.0,225.0,False,True,False,1994.0,1.0,24.0,Monty Williams
23,43,Chris,Whitney,1971-10-05,Clemson,USA,72.0,175.0,True,False,False,1993.0,2.0,47.0,Chris Whitney
24,45,George,McCloud,1967-05-27,Florida State,USA,80.0,230.0,False,True,False,1989.0,1.0,7.0,George McCloud
25,46,Mike,Peplowski,1970-10-15,Michigan State,USA,82.0,270.0,False,False,True,1993.0,2.0,52.0,Mike Peplowski
26,47,Wayman,Tisdale,1964-06-09,Oklahoma,USA,81.0,260.0,False,True,False,1985.0,1.0,2.0,Wayman Tisdale
27,49,Gheorghe,Muresan,1971-02-14,Pau Orthez,Romania,91.0,303.0,False,False,True,1993.0,2.0,30.0,Gheorghe Muresan
28,51,Mahmoud,Abdul-Rauf,1969-03-09,Louisiana State,USA,73.0,51.0,True,False,False,1990.0,1.0,3.0,Mahmoud Abdul-Rauf
29,52,Micheal,Williams,1966-07-23,Baylor,USA,74.0,175.0,True,False,False,1988.0,2.0,48.0,Micheal Williams
30,53,Mario,Elie,1963-11-26,American International,USA,77.0,225.0,True,True,False,1985.0,7.0,160.0,Mario Elie
31,54,Dickey,Simpkins,1972-04-06,Providence,USA,,,False,True,False,1994.0,1.0,21.0,Dickey Simpkins
32,55,Marty,Conlon,1968-01-19,Providence,USA,82.0,224.0,False,False,True,-1.0,-1.0,-1.0,Marty Conlon
33,56,Gary,Payton,1968-07-23,Oregon State,USA,76.0,190.0,True,False,False,1990.0,1.0,2.0,Gary Payton
34,57,Doug,Christie,1970-05-09,Pepperdine,USA,78.0,205.0,True,True,False,1992.0,1.0,17.0,Doug Christie
35,61,Carl,Herrera,1966-12-14,Houston,USA,,,,,,1990.0,2.0,30.0,Carl Herrera
36,63,Michael,Smith,1972-03-28,Providence,USA,80.0,240.0,False,True,False,1994.0,2.0,35.0,Michael Smith
37,64,Sam,Perkins,1961-06-14,North Carolina,USA,81.0,64.0,False,True,True,1984.0,1.0,4.0,Sam Perkins
38,65,Greg,Minor,1971-09-08,Louisville,USA,78.0,210.0,True,False,False,1994.0,1.0,25.0,Greg Minor
39,66,Marques,Bragg,1970-03-24,Providence,USA,80.0,230.0,False,True,False,-1.0,-1.0,-1.0,Marques Bragg
40,67,Tom,Hammonds,1967-03-27,Georgia Tech,USA,,,False,True,False,1989.0,1.0,9.0,Tom Hammonds
41,70,Steve,Kerr,1965-09-27,Arizona,USA,73.0,70.0,True,False,False,1988.0,2.0,50.0,Steve Kerr
42,71,Pooh,Richardson,1966-05-14,UCLA,USA,73.0,180.0,True,False,False,1989.0,1.0,10.0,Pooh Richardson
43,72,Kenny,Anderson,1970-10-09,Georgia Tech,USA,73.0,168.0,True,False,False,1991.0,1.0,2.0,Kenny Anderson
44,73,Hot Rod,Williams,1962-08-09,Tulane,USA,83.0,245.0,False,False,True,1985.0,2.0,45.0,Hot Rod Williams
45,74,Derrick,Phelps,1972-07-31,North Carolina,USA,76.0,181.0,False,True,False,-1.0,-1.0,-1.0,Derrick Phelps
46,76,Cedric,Ceballos,1969-08-02,California State-Fullerton,USA,79.0,76.0,False,True,False,1990.0,2.0,48.0,Cedric Ceballos
47,77,Doug,Overton,1969-08-03,La Salle,USA,75.0,190.0,True,False,False,1991.0,2.0,40.0,Doug Overton
48,78,LaSalle,Thompson,1961-06-23,Texas,USA,82.0,78.0,False,False,False,1982.0,1.0,5.0,LaSalle Thompson
49,80,Ken,Norman,1964-09-05,Illinois,USA,80.0,215.0,False,True,False,1987.0,1.0,19.0,Ken Norman
50,81,Jeff,Grayer,1965-12-17,Iowa State,USA,77.0,210.0,True,False,False,1988.0,1.0,13.0,Jeff Grayer
